RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,ALL_TURSM_TOUR_EXPNDTR_INTEN_VALUE,DMSTC_TURSM_TOUR_EXPNDTR_INTEN_VALUE,OVSEA_TURSM_TOUR_EXPNDTR_INTEN_VALUE
53366704,20230227,F,60대,전라남도,300이상500만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53347501,20230227,F,60대,전라남도,500이상700만원 미만,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
353635,20230227,F,60대,전라남도,300만원 미만,훨씬 더 많이,훨씬 더 많이,비슷하게
53326724,20230227,F,60대,전라남도,300만원 미만,훨씬 더 적게,약간 더 적게,약간 더 적게
422120,20230227,F,60대,전라남도,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53322394,20230227,F,50대,서울특별시,700만원 이상,약간 더 많이,비슷하게,약간 더 많이
53336646,20230227,F,50대,서울특별시,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53322294,20230227,F,50대,서울특별시,700만원 이상,약간 더 많이,약간 더 많이,훨씬 더 많이
53375181,20230227,F,50대,서울특별시,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53363846,20230227,F,50대,서울특별시,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53338679,20230227,F,50대,서울특별시,500이상700만원 미만,약간 더 적게,약간 더 적게,약간 더 많이
53323433,20230227,F,50대,서울특별시,700만원 이상,비슷하게,훨씬 더 많이,훨씬 더 많이
53364711,20230227,F,50대,서울특별시,700만원 이상,약간 더 많이,약간 더 많이,비슷하게
53366085,20230227,F,50대,서울특별시,300이상500만원 미만,훨씬 더 많이,약간 더 많이,훨씬 더 많이
53334871,20230227,F,50대,서울특별시,700만원 이상,비슷하게,비슷하게,비슷하게
53349193,20230227,F,50대,서울특별시,700만원 이상,비슷하게,비슷하게,비슷하게
53323713,20230227,F,50대,서울특별시,500이상700만원 미만,비슷하게,비슷하게,비슷하게
53347706,20230227,F,50대,서울특별시,300이상500만원 미만,약간 더 많이,비슷하게,약간 더 많이
53355403,20230227,F,50대,부산광역시,300이상500만원 미만,비슷하게,약간 더 많이,약간 더 많이
53359809,20230227,F,50대,부산광역시,700만원 이상,훨씬 더 많이,훨씬 더 많이,약간 더 많이
53332912,20230227,F,50대,부산광역시,300만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53340482,20230227,F,50대,부산광역시,500이상700만원 미만,비슷하게,비슷하게,비슷하게
53324404,20230227,F,40대,서울특별시,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53335821,20230227,F,40대,서울특별시,모름,약간 더 많이,훨씬 더 많이,훨씬 더 많이
53323517,20230227,F,40대,서울특별시,500이상700만원 미만,비슷하게,비슷하게,비슷하게
53343156,20230227,F,40대,서울특별시,300만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53346759,20230227,F,40대,서울특별시,500이상700만원 미만,훨씬 더 적게,훨씬 더 적게,비슷하게
53364724,20230227,F,40대,서울특별시,500이상700만원 미만,약간 더 많이,훨씬 더 많이,약간 더 많이
53367398,20230227,F,40대,서울특별시,모름,비슷하게,훨씬 더 적게,약간 더 적게
53341875,20230227,F,40대,서울특별시,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53375995,20230227,F,40대,경기도,500이상700만원 미만,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53353925,20230227,F,40대,경기도,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53336255,20230227,F,40대,경기도,700만원 이상,약간 더 적게,약간 더 많이,약간 더 많이
53338872,20230227,F,40대,경기도,300이상500만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53360540,20230227,F,40대,경기도,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53365464,20230227,F,40대,경기도,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53348851,20230227,F,40대,경기도,500이상700만원 미만,훨씬 더 적게,약간 더 많이,약간 더 많이
53372026,20230227,F,40대,경기도,700만원 이상,훨씬 더 많이,훨씬 더 많이,훨씬 더 많이
53350721,20230227,F,40대,경기도,500이상700만원 미만,약간 더 많이,비슷하게,약간 더 많이
53342870,20230227,F,40대,경기도,500이상700만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53330391,20230227,F,40대,경기도,300만원 미만,비슷하게,비슷하게,비슷하게
53370239,20230227,F,40대,경기도,500이상700만원 미만,비슷하게,비슷하게,비슷하게
53334333,20230227,F,40대,경기도,500이상700만원 미만,훨씬 더 많이,훨씬 더 많이,약간 더 많이
53364830,20230227,F,40대,경기도,500이상700만원 미만,비슷하게,비슷하게,약간 더 적게
53353085,20230227,F,40대,경기도,500이상700만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53348695,20230227,F,40대,경기도,700만원 이상,약간 더 많이,훨씬 더 많이,훨씬 더 많이
53365151,20230227,F,40대,경기도,700만원 이상,약간 더 적게,비슷하게,훨씬 더 적게
53341107,20230227,F,40대,부산광역시,모름,약간 더 적게,비슷하게,훨씬 더 적게
53343838,20230227,F,40대,부산광역시,모름,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53368134,20230227,F,40대,부산광역시,300이상500만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53373490,20230227,F,40대,부산광역시,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53366536,20230227,F,40대,충청북도,300이상500만원 미만,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53348035,20230227,F,40대,충청북도,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53353009,20230227,F,30대,서울특별시,700만원 이상,훨씬 더 많이,훨씬 더 많이,비슷하게
53372420,20230227,F,30대,서울특별시,모름,약간 더 많이,비슷하게,약간 더 많이
53367188,20230227,F,30대,서울특별시,300이상500만원 미만,약간 더 많이,약간 더 많이,비슷하게
53375726,20230227,F,30대,서울특별시,700만원 이상,훨씬 더 많이,약간 더 많이,훨씬 더 많이
53324504,20230227,F,30대,서울특별시,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53326125,20230227,F,30대,경기도,300이상500만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53357161,20230227,F,30대,경기도,300만원 미만,비슷하게,비슷하게,비슷하게
53331223,20230227,F,30대,경기도,300만원 미만,비슷하게,약간 더 많이,약간 더 많이
53347313,20230227,F,30대,경기도,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53329567,20230227,F,30대,경기도,700만원 이상,비슷하게,비슷하게,비슷하게
53347489,20230227,F,30대,경기도,700만원 이상,약간 더 많이,약간 더 많이,약간 더 적게
