"fclty_id","fclty_nm","area_addr","ctprvn_cd","ctprvn_nm","signgu_cd","signgu_nm","adstrd_cd","adstrd_nm","fclty_la","fclty_lo"
"KP0001","396커피 컴퍼니","경상북도 안동시 옥동길 32 (옥동) ","37","경상북도","37040","안동시","3704060","옥동","36.560047","128.6999282"
"KP0002","KBS홀 [부산]","부산광역시 수영구 수영로 429 (남천동 63) KBS부산방송총국","21","부산광역시","21140","수영구","2114051","남천1동","35.1448058","129.1075946"
"KP0003","VOFOL(보폴)","서울특별시 광진구 동일로 170 (화양동) ","11","서울특별시","11050","광진구","1105053","화양동","37.5472053","127.0670741"
"KP0004","가톨릭청년회관","서울특별시 마포구 월드컵북로2길 49 (동교동)","11","서울특별시","11140","마포구","1114066","서교동","37.5572206","126.9230358"
"KP0005","가나의집열림홀","서울특별시 종로구 대학로3길 9 (연지동)","11","서울특별시","11010","종로구","1101063","종로5·6가동","37.573987","127.0013216"
"KP0006","평창문화예술회관","강원도 평창군 평창읍 문화예술길 51 ","32","강원도","32340","평창군","3234011","평창읍","37.3615646","128.3909697"
"KP0007","경기도어린이박물관","경기도 용인시 기흥구 상갈로 6 (상갈동)","31","경기도","31192","용인시 기흥구","3119253","상갈동","37.2682803","127.1086791"
"KP0008","갤러리롤랑","서울특별시 종로구 삼청로 143 (삼청동) ","11","서울특별시","11010","종로구","1101054","삼청동","37.5882827","126.9813707"
"KP0009","경주화백컨벤션센터","경상북도 경주시 보문로 507 (신평동) ","37","경상북도","37020","경주시","3702067","보덕동","35.8384108","129.2879358"
"KP0010","경주예술의전당","경상북도 경주시 알천북로 1 (황성동)","37","경상북도","37020","경주시","3702063","황성동","35.8625486","129.2061027"
"KP0011","과천 서울대공원","경기도 과천시 대공원광장로 102 (막계동) ","31","경기도","31110","과천시","3111056","문원동","37.4264494","127.0198465"
"KP0012","과천시민회관","경기도 과천시 통영로 5 (중앙동)","31","경기도","31110","과천시","3111051","중앙동","37.4282679","126.9892375"
"KP0013","공상온도","서울특별시 마포구 동교로23길 40 (동교동) ","11","서울특별시","11140","마포구","1114066","서교동","37.5576792","126.919785"
"KP0014","광주북구평생학습관","광주광역시 북구 향토문화로 65 (중흥동)","24","광주광역시","24040","북구","2404051","중흥1동","35.1728544","126.9136517"
"KP0015","광주남구문화예술회관","광주광역시 남구 봉선로 208 (봉선동)","24","광주광역시","24030","남구","2403068","봉선1동","35.1222373","126.917192"
"KP0016","광운대학교 동해문화예술관","서울특별시 노원구 광운로 21 (월계동) 동해문화예술관","11","서울특별시","11110","노원구","1111051","월계1동","37.6198454","127.0576709"
"KP0017","광한루원","전라북도 남원시 요천로 1447 (천거동) 광한루원","35","전라북도","35050","남원시","3505055","금동","35.4032843","127.3795144"
"KP0018","구름아래소극장","서울특별시 마포구 와우산로29가길 15 (서교동) ","11","서울특별시","11140","마포구","1114066","서교동","37.5541135","126.928599"
"KP0019","국민대학교 국제관","서울 성북구 정릉동 861-1","11","서울특별시","11080","성북구","1108062","정릉1동","37.6111506","126.9965758"
"KP0020","국립극단 [용산]","서울특별시 용산구 청파로 373 (서계동)","11","서울특별시","11030","용산구","1103071","청파동","37.5529774","126.9680444"
"KP0021","구석으로부터","대전광역시 동구 중앙로203번길 88-1 (정동)","25","대전광역시","25010","동구","2501076","중앙동","36.3342558","127.4291295"
"KP0022","군포시청소년수련관","경기도 군포시 산본로 322 (금정동)","31","경기도","31160","군포시","3116056","금정동","37.3598091","126.9347135"
"KP0023","군포문화예술회관","경기도 군포시 산본동","31","경기도","31160","군포시","3116054","산본1동","37.3664153","126.9273493"
"KP0024","군포시평생학습원","경기도 군포시 고산로 263 (당동)","31","경기도","31160","군포시","3116051","군포1동","37.346378","126.943131"
"KP0025","나다소극장","부산광역시 남구 용소로40번길 11 (대연동)","21","부산광역시","21070","남구","2107070","대연1동","35.1337298","129.1003179"
"KP0026","남산골한옥마을","서울특별시 중구 퇴계로34길 28 (필동2가) ","11","서울특별시","11020","중구","1102057","필동","37.5584554","126.993561"
"KP0027","남도소리울림터","전남 무안군 삼향읍 남악로 222","36","전라남도","36420","무안군","3642013","삼향읍","34.804933","126.4629329"
"KP0028","나가수공연장","경기도 고양시 일산동구 고봉로 32-36 (장항동) 3층","31","경기도","31103","고양시 일산동구","3110359","장항2동","37.663544","126.7666735"
"KP0029","놀터예술공방","서울특별시 성북구 성북로2길 21 - 0 태고종선부암","11","서울특별시","11080","성북구","1108081","성북동","37.5895028","127.0070389"
"KP0030","대관령성당","강원도 평창군 대관령면 장선길 25 대관령성당","32","강원도","32340","평창군","3234037","대관령면","37.6719963","128.706166"
"KP0031","논현2동 문화예술관","서울특별시 강남구 학동로43길 17 (논현동) ","11","서울특별시","11230","강남구","1123052","논현1동","37.517342","127.037213"
"KP0032","대구학생문화센터","대구광역시 달서구 용산로 181 (용산동)","22","대구광역시","22070","달서구","2207073","용산2동","35.8530441","128.5294839"
