SEQ_NO,FINAN_YEAR,ADMNSTMACH_CD,ADMNSTMACH_NM,TOT_ANEXPTR_BUDGET_PRICE,BEFORE_YEAR_ANEXPTR_BUDGET_PRICE,ANEXPTR_BUDGET_IRDS_RT,CLTUR_TURSM_BUDGET_PRICE,BEFORE_YEAR_CLTUR_TURSM_BUDGET_PRICE,CLTUR_TURSM_BUDGET_IRDS_RT,CLTUR_TURSM_BUDGET_RATE,TOT_POPLTN_CO,ONE_PSNBY_CLTUR_TURSM_BUDGET_PRICE
1,2016,1100000000,서울특별시,29272794246000,26657217692000,9.81,56321960000,40738312000,38.25,0.19,9857426,5714
2,2016,1111000000,서울특별시 종로구,432342705000,412696383000,4.76,385000000,48000000,702.08,0.09,152737,2521
3,2016,1114000000,서울특별시 중구,414585572000,362120674000,14.49,138489000,20068000,590.1,0.03,125249,1106
4,2016,1117000000,서울특별시 용산구,366945436000,342822005000,7.04,21700000,21700000,0,0.01,230241,94
5,2016,1120000000,서울특별시 성동구,416787094000,391628042000,6.42,46000000,46000000,0,0.01,299259,154
6,2016,1121500000,서울특별시 광진구,432207005000,394745789000,9.49,529284000,82265000,543.39,0.12,357215,1482
7,2016,1123000000,서울특별시 동대문구,444327045000,417957150000,6.31,0,146000000,-100,0,355069,0
8,2016,1126000000,서울특별시 중랑구,494082344000,461503937000,7.06,147580000,144587000,2.07,0.03,411005,359
9,2016,1129000000,서울특별시 성북구,530814175000,494445596000,7.36,366960000,272000000,34.91,0.07,450355,815
10,2016,1130500000,서울특별시 강북구,486129132000,443820632000,9.53,349200000,170000000,105.41,0.07,327195,1067
11,2016,1132000000,서울특별시 도봉구,447255717000,392738766000,13.88,1200000,25000000,-95.2,0,348220,3
12,2016,1135000000,서울특별시 노원구,694946675000,637254831000,9.05,0,68000000,-100,0,567581,0
13,2016,1138000000,서울특별시 은평구,557015571000,510381323000,9.14,0,157000000,-100,0,491476,0
14,2016,1141000000,서울특별시 서대문구,406166034000,377506379000,7.59,94680000,70000000,35.26,0.02,314194,301
15,2016,1144000000,서울특별시 마포구,562030607000,510562462000,10.08,24000000,1025000000,-97.66,0,379892,63
16,2016,1147000000,서울특별시 양천구,525114585000,488841223000,7.42,67352000,77338000,-12.91,0.01,477739,141
17,2016,1150000000,서울특별시 강서구,714775197000,671626456000,6.42,298153000,377774000,-21.08,0.04,595485,501
18,2016,1153000000,서울특별시 구로구,542981357000,487461141000,11.39,0,14000000,-100,0,417551,0
19,2016,1154500000,서울특별시 금천구,360232834000,329484186000,9.33,0,0,,0,235386,0
20,2016,1156000000,서울특별시 영등포구,476342511000,451000771000,5.62,0,0,,0,370613,0
21,2016,1159000000,서울특별시 동작구,456290355000,402865467000,13.26,118000000,20000000,490,0.03,400997,294
22,2016,1162000000,서울특별시 관악구,521402477000,474634140000,9.85,153000000,0,,0.03,506851,302
23,2016,1165000000,서울특별시 서초구,682215590000,632284418000,7.9,0,0,,0,447192,0
24,2016,1168000000,서울특별시 강남구,916817624000,870243560000,5.35,1000000000,128000000,681.25,0.11,567115,1763
25,2016,1171000000,서울특별시 송파구,603202533000,565741586000,6.62,159428000,99858000,59.65,0.03,657831,242
26,2016,1174000000,서울특별시 강동구,515133234000,471609263000,9.23,102566000,57348000,78.85,0.02,444168,231
27,2016,2600000000,부산광역시,11147652001000,10020444490000,11.25,17816313000,9754356000,82.65,0.16,3498529,5093
28,2016,2611000000,부산광역시 중구,136063957000,125140462000,8.73,0,0,,0,45208,0
